"GARCH(1,1)-N_std_resid","GARCH(1,1)-t_std_resid","EGARCH(1,1)-t_std_resid","APARCH(1,1)-t_std_resid"
1.1534205984193748,1.151681983723547,1.1518991094598512,1.146709743908079
0.06235229459099253,0.06224680190437333,0.06128341595616745,0.06171949487353844
1.5891659313147273,1.5778672224413595,1.5861450878932741,1.577778168422888
1.3326607892022735,1.3294060181004401,1.3218472508691463,1.3266910314285996
0.666052657672398,0.6653941930195311,0.6526140242243097,0.6615109630572923
-1.7374154677727263,-1.7294027826075256,-1.6823865560619493,-1.7173322556321111
-1.0654970313604497,-1.066714599922145,-1.0357839519544065,-1.060647425134617
-0.40776734948016236,-0.40775096184123855,-0.39104930296442797,-0.40386370794237636
-0.3928292659819923,-0.3909186380982985,-0.3757850426824721,-0.38829987149245015
0.801782408476764,0.7940729845969923,0.7654367108070973,0.7911389386833919
-0.18265318804630723,-0.18046492379213963,-0.17222967384352386,-0.17931820822593184
0.35402555531873836,0.34795291977403575,0.3366494137359283,0.3480438003974585
0.7255314660663567,0.7097640929426683,0.6894047483796192,0.7124127255228792
-0.03114717616267028,-0.03039963159040098,-0.029251420378812773,-0.030441538392819226
0.42675831149645294,0.4143328272431578,0.40789772847087064,0.41847303851401324
-0.109917690677078,-0.10628846556752321,-0.10459035501919904,-0.10754825176054873
0.0869256307092798,0.0836340080299203,0.08368890885530011,0.08524896387213433
0.9189358198257954,0.8797634636385606,0.8961783685455155,0.903528278718464
1.004414520523431,0.9625079063373467,0.9638711374673261,0.9826150849508618
4.537929815664049,4.357086739210312,4.290829079847465,4.420370286001434
-0.1718004629519462,-0.17379852154077877,-0.1966205839835262,-0.18969212930107562
0.4724309560830907,0.4752877307251364,0.5437784098121718,0.5219436792306474
-1.213722825876772,-1.2152675387022813,-1.3784458725171764,-1.3327842294839047
0.5367266239758515,0.537381375594614,0.5923878161912399,0.5809207179333161
0.17202002234911098,0.17147537715992117,0.1871883532812374,0.184949667163091
-0.960215152412638,-0.9520200274118161,-1.0514730985341325,-1.033135360576446
-0.8533298576687698,-0.8449819912473,-0.9117681509823071,-0.9074850814440113
0.8694705427361069,0.8592228563377123,0.9095153012463268,0.9154143263115966
-0.11381777938615993,-0.1122767497886843,-0.11672498136245833,-0.1187027854906086
1.93810286127211,1.901623800174376,2.0098831101898,2.0251987224423966
0.2014503419614856,0.19986015542078675,0.20930395535135324,0.21095068422189123
-0.47998719942450485,-0.47367881865088435,-0.5013767361963506,-0.502840593561757
0.27614711495579286,0.2713597266336639,0.2856932937905787,0.2879455097679585
0.6102273542775317,0.5966696877119642,0.6316452813804138,0.6356631135547317
-1.3798428801684826,-1.3448811381896149,-1.4081543961050178,-1.428092376750782
0.3628481803254511,0.3553921337304989,0.3647540979541231,0.3730757651150747
0.6700558172960813,0.6532786307751758,0.6714215537396802,0.6873521534545006
0.15307880536829438,0.14885399818511202,0.15125917755760274,0.15601748647256677
-0.6281511129553827,-0.6077076822936175,-0.6260409589587187,-0.6410727480866381
0.6583795873328102,0.6352904543099012,0.6476934795834888,0.6679780907202436
-1.406823247609541,-1.3544474246699,-1.3660056583718245,-1.4188847461533733
-0.07945197605089398,-0.07702824013954819,-0.0764353282781348,-0.07988916847359102
-2.1308560851275984,-2.055323297614644,-2.0781155561570928,-2.147965586438475
1.4298714715574512,1.4042750822142154,1.4235651755501635,1.4627944267897564
0.9180133379527444,0.9056939448212082,0.9039813290146683,0.9350000112027299
0.291641721296314,0.287382097867567,0.2826768996743889,0.2948570446081265
0.3264284858559547,0.3200881719306615,0.31686172484324254,0.3297624329984055
0.6337097897493567,0.6184969026395497,0.6148323265653702,0.6392869950050446
-0.5846422453103987,-0.568975391508205,-0.5607311831677537,-0.5866065035633679
1.2849774429039003,1.2466875460665772,1.2204120101625429,1.2832077521520093
0.43563450522131947,0.42449409274562916,0.40972696495254834,0.4334860729378035
-0.08785424801447225,-0.08526466205293755,-0.08228070913436945,-0.08718393250776557
0.5457741767203408,0.5270225880075646,0.5180224300354244,0.5429502010166788
-0.3866522672068781,-0.3722423340963169,-0.36386996513100955,-0.3830869616679183
0.07738528734937078,0.07421207403130753,0.0726229006480306,0.07651646212750458
-1.2744033032679851,-1.2163128712311626,-1.2124027202398007,-1.2633202430527737
0.30360318010593434,0.29157643458676513,0.28572736802196025,0.3000563894582174
1.163025834018966,1.1123407308524738,1.0953208023080778,1.1485101447715893
0.37486269364208824,0.3601138545822358,0.34887616794310977,0.36873379308942644
0.2638016193876024,0.25247470851015885,0.24499840285350497,0.25904013392055486
-0.25704110962948606,-0.24499398513284903,-0.23941913106259302,-0.25237257083353526
-0.607487972856793,-0.5767080482257957,-0.5676183025133831,-0.5964414658805459
0.8988270936687783,0.8519905914497232,0.8316698928046259,0.8787888097093965
0.136877024692429,0.12998117189909816,0.12507600661531426,0.13319085111470608
-1.4542535381586663,-1.3753294858106047,-1.3424754034540447,-1.4177712215460014
0.6065632127507371,0.5798348903048071,0.5582501398515944,0.5925151268028116
0.47552879768303213,0.4538213818418383,0.43375727247903584,0.4626801232801002
0.7771677685126478,0.7398051602780649,0.7053475387808259,0.7541816369086398
-0.1724060903492258,-0.16417445393187624,-0.15482373809816413,-0.1665869847505241
-0.24287580720684018,-0.23039971955391378,-0.21999352036602438,-0.23503802584645772
-0.29533052841624213,-0.2792113753453449,-0.2687959297519656,-0.28595231218962414
0.00851819984089357,0.008029434947613339,0.007770655578900795,0.008246281592720188
-1.0590530003641356,-0.9948229511344138,-0.984622983326422,-1.0288805234752725
1.3093424249984944,1.2367596723847145,1.2031368755470886,1.2679295750284174
-0.13276932265429986,-0.1265416547449932,-0.12122509593005842,-0.1285972110757441
-1.3113497594807741,-1.2455263564650216,-1.210488785743051,-1.2729029369723717
