模型,AIC,BIC,LogLik,alpha+beta(beta)
"GARCH(1,1)-N",20990.698292315617,21010.989983337036,-10492.349146157809,0.9907774809010242
"GARCH(1,1)-t",20398.96672478973,20426.022312818288,-10195.483362394865,0.9946299667545965
"EGARCH(1,1)-t",20379.576602438352,20406.63219046691,-10185.788301219176,0.9898980736759224
"APARCH(1,1)-t",20387.324756276506,20421.144241312202,-10188.662378138253,0.9249896362683693
