统计量,值
观测数,6399.0
均值(%),0.016623942433381465
标准差(%),1.4517484674464958
最小值(%),-9.256154348244934
最大值(%),9.400787234693547
偏度,-0.38069029351030637
超额峰度,5.7632172941543125
JB统计量,9010.424961865909
JB_p值,0.0
