"GARCH(1,1)-N_cond_vol","GARCH(1,1)-t_cond_vol","EGARCH(1,1)-t_cond_vol","APARCH(1,1)-t_cond_vol"
2.474064900853823,2.4777998256471663,2.477332775966218,2.48854379552559
2.498887395551558,2.5031223817171213,2.542471900531652,2.52450807247211
2.3930672473162877,2.4102033977839947,2.3976248893039775,2.4103394361081407
2.524899767023318,2.5310814531935644,2.5455550283631276,2.5362611463157556
2.5929334587276576,2.595499388890138,2.646327166208188,2.610735600467538
2.5285839226032922,2.540299381309251,2.611290968097005,2.558154255988953
2.712886368823875,2.7097898281424477,2.7907097488292685,2.725290519640114
2.7188344464446548,2.718943717252995,2.8350694081225623,2.745113992912393
2.6207348871430396,2.633543816324578,2.739601753973214,2.6513049259915005
2.5252332820379624,2.5497500382356537,2.64514047242808,2.5592061316152033
2.4827488072613346,2.512853884485454,2.6330072782722236,2.528923243495079
2.380638595242238,2.4221866028346075,2.5035151297039295,2.4215541254617583
2.2919776138097196,2.3428937795997493,2.4120835869598083,2.334183288371414
2.2437514636491924,2.2989266134921884,2.389166789116008,2.2957618370566983
2.1495015681125613,2.21396326685057,2.2488913169620735,2.1920591659239634
2.0753835938571794,2.146247673139607,2.1810937716388956,2.1211072069658345
1.9899708636113131,2.068291075451265,2.0669342542341993,2.0291093821616064
1.908191946343026,1.9931561187429738,1.9566483549961415,1.9407316537837933
1.8938095524362872,1.976264092012872,1.9734690039284093,1.9358239484671762
1.8917662227814986,1.970284931298437,2.000709463573296,1.942077652139827
3.0021472373652114,2.967633330000642,2.623175431482104,2.718986217981818
2.8763702833152163,2.85908151031455,2.4989707911812373,2.6035114842249194
2.7786815126194644,2.7751495619716815,2.4466315616364653,2.530453994803041
2.8207045055739264,2.817267726919229,2.5556690484353592,2.6061167380915355
2.7324118055152056,2.7410905730992616,2.5109977817130207,2.5413916502873306
2.6186937270875537,2.6412358184453306,2.391415814425393,2.433862485235627
2.603011072060946,2.628727109737792,2.436175320709466,2.447673370120345
2.5676935547856297,2.5983176450580605,2.4546413959173417,2.4388234316310404
2.5357852602192046,2.570589617721492,2.472627915202496,2.431429440559675
2.4291943664241926,2.475793872437387,2.3424389847766935,2.3247242356912605
