变量,检验方法,差分阶数,统计量,p值,AIC,临界值1%,临界值5%,临界值10%,结论
对数收益率,ADF,0,-12.608750526883615,1.6732762910394663e-23,22696.418396184305,-3.431377960341069,-2.8619942687450455,-2.567011804115189,平稳
对数收益率,KPSS,0,0.0552276069272457,0.1,,0.739,0.463,0.347,平稳
对数收益率,ADF,1,-23.76069473234677,0.0,22849.361512373394,-3.431377960341069,-2.8619942687450455,-2.567011804115189,平稳
对数收益率,KPSS,1,0.04646522532525467,0.1,,0.739,0.463,0.347,平稳
对数收益率,ADF,2,-28.63326517850218,0.0,23352.51521056707,-3.4313782836279443,-2.861994411584917,-2.5670118801521253,平稳
对数收益率,KPSS,2,0.016487234964249763,0.1,,0.739,0.463,0.347,平稳
