变量,检验方法,差分阶数,统计量,p值,AIC,临界值1%,临界值5%,临界值10%,结论
对数收益率,ADF,0,-12.608750526883616,1.6732762910394666e-23,22696.418396184305,-3.431377960341069,-2.861994268745045,-2.567011804115189,平稳
对数收益率,KPSS,0,0.0552276069272457,0.1,,0.739,0.463,0.347,平稳
